titles,years,descriptions,genres
The A-Team,2010,"    A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.","Action, Adventure, Thriller            "
The Other Guys,2010,"    Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.","Action, Comedy, Crime            "
Grown Ups,2010,"    After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",Comedy            
The Twilight Saga: Eclipse,2010,"    As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.","Adventure, Drama, Fantasy            "
Megamind,2010,"    The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.","Animation, Action, Comedy            "
The Tourist,2010,"    Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path.","Action, Adventure, Crime            "
Spartacus,2010,"    The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","Action, Adventure, Biography            "
Predators,2010,    A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,"Action, Adventure, Sci-Fi            "
Machete,2010,"    After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.","Action, Crime, Thriller            "
Unstoppable,2010,"    With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.","Action, Thriller            "
Blue Valentine,2010,"    The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.","Drama, Romance            "
Shrek Forever After,2010,    Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,"Animation, Adventure, Comedy            "
The Next Three Days,2010,    A married couple's life is turned upside down when the wife is accused of a murder.,"Action, Crime, Drama            "
Knight and Day,2010,    A young woman gets mixed up with a disgraced spy who is trying to clear his name.,"Action, Adventure, Comedy            "
Love & Other Drugs,2010,"    In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease.","Comedy, Drama, Romance            "
Percy Jackson & the Olympians: The Lightning Thief,2010,    A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,"Adventure, Family, Fantasy            "
Boardwalk Empire,2010,    An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,"Crime, Drama, History            "
Get Him to the Greek,2010,    A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.,"Comedy, Music            "
Tucker and Dale vs Evil,2010,    Affable hillbillies Tucker and Dale are on vacation at their dilapidated mountain cabin when they are mistaken for murderers by a group of preppy college students.,"Comedy, Horror            "
Game of Thrones,2011,"    Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Action, Adventure, Drama            "
Harry Potter and the Deathly Hallows: Part 2,2011,"    Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","Adventure, Drama, Fantasy            "
The Intouchables,2011,"    After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Biography, Comedy, Drama            "
Thor,2011,"    The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.","Action, Adventure, Fantasy            "
Captain America: The First Avenger,2011,"    Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.","Action, Adventure, Sci-Fi            "
X-Men: First Class,2011,"    In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.","Action, Adventure, Sci-Fi            "
Drive,2011,    A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor in this action drama.,"Crime, Drama            "
Limitless,2011,"    With the help of a mysterious pill that enables the user to access 100% of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers.","Sci-Fi, Thriller            "
Rise of the Planet of the Apes,2011,    A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.,"Action, Drama, Sci-Fi            "
Source Code,2011,    A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.,"Action, Drama, Mystery            "
Pirates of the Caribbean: On Stranger Tides,2011,"    Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.","Action, Adventure, Fantasy            "
"Crazy, Stupid, Love",2011,"    A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.","Comedy, Drama, Romance            "
